CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Sur;28064299;EEI;EL BOSQUE;Calle De La Encina, 2 ;Humanes de Madrid;-;28970;914982718;914982718;eei.elbosque.humanes@educa.madrid.org;-;Público;
Madrid-Capital;28043481;EEI;EL CARMEN;Calle De Vélez Rubio, 181 ;Madrid;Hortaleza;28033;913029923;913029923;eei.elcarmen.madrid@educa.madrid.org;-;Público;
Madrid-Este;28048142;EEI;EL CASCANUECES;Calle De Paz Camacho, 72 ;Velilla de San Antonio;-;28891;916552125;916552125;eei.elcascanueces.velilla@educa.madrid.org;-;Público;
Madrid-Capital;28071887;EEI;EL CASERIO;Calle De María Teresa Robledo, 3 ;Madrid;Puente de Vallecas;28018;913808654;91 380 86 54;eei.elcaserio.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28068062;EEI;EL COCHERITO LERÉ;Calle De Fuentevaqueros, 12 ;Fuenlabrada;-;28944;916098643;916098643;eei.elcocheritolere.fuenlabrada@educa.madrid.org;ana.garcia.luque@madrid.org;Público;
Madrid-Sur;28072387;EEI;EL COLUMPIO;Paseo De Arroyomolinos, 64 ;Móstoles;-;28938;916472056;-;eei.elcolumpio.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28070111;EEI;EL COLUMPIO;Calle Molino, 5 ;Loeches;-;28890;671095785;-;eei.elcolumpio.loeches@educa.madrid.org;elcolumpio@kidsco.es;Público;
Madrid-Sur;28067872;EEI;EL CORRO DE LA PATATA;Calle Del Cabo San Vicente, S/n ;Alcorcón;-;28924;916199643;916199643;eei.elcorrodelapatata.alcorcon@educa.madrid.org;-;Público;
Madrid-Sur;28047538;EEI;EL CUCO;Calle Maestro, 10 ;Leganés;-;28914;916801409;916801409;eei.elcuco.leganes@educa.madrid.org;-;Público;
Madrid-Norte;28046972;EEI;EL CUQUILLO;Paseo De La Chopera, 118 ;Alcobendas;-;28100;916624097;916622155;eei.elcuquillo.alcobendas@educa.madrid.org;-;Público;
Madrid-Capital;28057696;EEI;EL DUENDE;Plaza Del Dos De Mayo, 2 ;Madrid;Centro;28004;915235187;915227256;eei.elduende.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28043533;EEI;EL ENCINAR;Calle Del Estrecho De Mesina, 1 ;Madrid;Ciudad Lineal;28043;913889917;913884725;eei.elencinar.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28047447;EEI;EL ESCONDITE;Calle De Las Panaderas, 12 ;Fuenlabrada;-;28944;916979265;916970227;eei.elescondite.fuenlabrada@educa.madrid.org;gema.castano@madrid.org;Público;
Madrid-Capital;28048622;EEI;EL ESPINILLO;Pasaje De La Avenencia, 2 ;Madrid;Villaverde;28041;913176104;913176104;eei.elespinillo.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28064317;EEI;EL FARO;Avenida De Talavera De La Reina, S/n ;San Sebastián de los Reyes;-;28701;916593447;-;eei.elfaro.sansebastian@educa.madrid.org;e.i.elfaro@hotmail.com;Público;
Madrid-Capital;28079023;EEI;EL FRESNO;Calle María Casares, 15 ;Madrid;Fuencarral-El Pardo;28035;-;-;eei.elfresno.madrid@educa.madrid.org;-;Público;
Madrid-Este;28073392;EEI;EL GATO CON BOTAS;Calle Antonio Solís, S/n ;Torrejón de Ardoz;-;28850;911167918;911167918;eei.elgatoconbotas.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Sur;28047009;EEI;EL JUGLAR;Calle De Alonso Cano, 8 ;Móstoles;-;28933;916173761;916173761;eei.eljuglar.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28043776;EEI;EL LAGO;Calle De Zaragoza, 6 ;Fuenlabrada;-;28941;916060622;916067296;eei.ellago.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Sur;28068335;EEI;EL LIMONERO;Calle Estrella Polar, S/n ;Parla;-;28983;914241538;-;eei.ellimonero.parla@educa.madrid.org;-;Público;
Madrid-Capital;28047599;EEI;EL LIRON;Calle Del Pico De Los Artilleros, 123 ;Madrid;Moratalaz;28030;913712712;-;eei.elliron.madrid@educa.madrid.org;eei.elliron@gmail.com;Público;
Madrid-Capital;28043569;EEI;EL MADROÑAL;Calle De José Paulete, 34 ;Madrid;Puente de Vallecas;28038;917787607;917787607;eei.elmadronal.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28078951;EEI;EL MAMUT;Calle De Los Ganados Del Salobral, 7 ;Madrid;Villaverde;28021;-;-;eei.elmamut.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28067677;EEI;EL MANANTIAL;Calle De Múñico, S/n ;Madrid;Latina;28047;914640597;914640597;eei.numeroseis-latina.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28068347;EEI;EL MANZANO;Calle Planeta Tierra, S/n ;Parla;-;28983;914242240;914240796;eei.elmanzano.parla@educa.madrid.org;-;Público;
Madrid-Sur;28048580;EEI;EL MOLINO;Avenida De Europa, 25 ;Fuenlabrada;-;28943;916082112;916082112;eei.elmolino.fuenlabrada@educa.madrid.org;antonia.pedregal@madrid.org;Público;
Madrid-Sur;28068323;EEI;EL NARANJO;Calle Lago Blanco, S/n ;Parla;-;28981;916989624;916999945;eei.elnaranjo.parla@educa.madrid.org;einaranjo@clece.es;Público;
Madrid-Sur;28047022;EEI;EL NARANJO;Paseo Riazor, S/n ;Fuenlabrada;-;28942;916085189;-;eei.elnaranjo.fuenlabrada@educa.madrid.org;almudena.bote@madrid.org;Público;
Madrid-Oeste;28064275;EEI;EL NOGAL;Calle De Santiago Ramón Y Cajal, S/n ;Alpedrete;-;28430;918579057;-;eei.elnogal.alpedrete@educa.madrid.org;eei.alpedrete@hotmail.com;Público;
Madrid-Capital;28073264;EEI;EL OLIVAR;Calle Del Olivar, 48-50 ;Madrid;Centro;28012;915306631;915306631;eei.elolivar.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28065334;EEI;EL OLIVAR;Calle Las Afiladeras, 18 ;San Martín de Valdeiglesias;-;28680;918612203;-;eei.elolivar.sanmartindevaldeiglesias@educa.madrid.org;america.campoy@madrid.org;Público;
Madrid-Norte;28044240;EEI;EL OLIVO;Avenida De La Vega, S/n ;Tres Cantos;-;28760;918031878;918031878;eei.elolivo.trescantos@educa.madrid.org;-;Público;
Madrid-Sur;28043910;EEI;EL PEQUEÑO SAUCE;Calle Del Pintor Murillo, S/n ;Móstoles;-;28933;916147788;916147788;eei.elpequenosauce.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28043600;EEI;EL PILAR;Calle De Siena, 38 ;Madrid;Ciudad Lineal;28027;914036749;914036749;eei.elpilar.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28048014;EEI;EL POCITO;Calle Cultura, S/n ;Pedrezuela;-;28723;918446300;918446786;eei.elpocito.pedrezuela@educa.madrid.org;-;Público;
Madrid-Sur;28043821;EEI;EL PRADO;Calle Murillo, S/n ;Getafe;-;28904;912027975;-;eei.elprado.getafe@educa.madrid.org;-;Público;
Madrid-Norte;28068773;EEI;EL PRINCIPITO;Calle Virtudes, 32-34 ;Algete;-;28110;916291761;916291761;eei.elprincipito.algete@educa.madrid.org;-;Público;
Madrid-Sur;28060634;EEI;EL REGAJAL;Calle La Imago, S/n ;Aranjuez;-;28300;918090252;918090253;eei.numerodos.aranjuez@educa.madrid.org;-;Público;
Madrid-Sur;28068074;EEI;EL ROBLE;Glorieta De Lituania, S/n ;Valdemoro;-;28341;918083102;-;eei.elroble.valdemoro@educa.madrid.org;pilar.rodriguez.jimenez@madrid.org;Público;
Madrid-Capital;28043806;EEI;EL ROCIO;Carretera De Carabanchel A Villaverde, 107 ;Madrid;Villaverde;28041;917231460;917231460;eei.elrocio.madrid@educa.madrid.org;eei.elrocio.madrid@educa.madrid.org;Público;
Madrid-Sur;28048609;EEI;EL ROMANCERO;Calle Dinamarca, 11 ;Leganés;-;28916;916884688;916884688;eei.elromancero.leganes@educa.madrid.org;-;Público;
Madrid-Norte;28044264;EEI;EL ROMERAL;Calle Sector Islas, 24 ;Tres Cantos;-;28760;918030248;918030248;eei.elromeral.trescantos@educa.madrid.org;-;Público;
Madrid-Sur;28073288;EEI;EL SACAPUNTAS;Calle De Las Ciencias, 27 ;Fuenlabrada;-;28943;914986125;914986125;eei.elsacapuntas.fuenlabrada@educa.madrid.org;escuelasacapuntas@gmail.com;Público;
Madrid-Este;28068384;EEI;EL SASTRECILLO VALIENTE;Calle Mayor, 71 ;Torres de la Alameda;-;28813;918868961;-;eei.elsastrecillovaliente.torres@educa.madrid.org;-;Público;
Madrid-Capital;28068049;EEI;EL SEÑOR DON GATO;Calle De Los Poetas, S/n ;Madrid;Vicálvaro;28032;670939547;-;eei.elsenordongato.madrid@educa.madrid.org;elsenordongato@kidsco.es;Público;
Madrid-Capital;28044355;EEI;EL SOL;Calle De Enrique Jardiel Poncela, 8 ;Madrid;Chamartín;28016;913532644;913532647;eei.elsol.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28043946;EEI;EL SOTO;Avenida Iker Casillas, 23 ;Móstoles;-;28935;916131690;-;eei.elsoto.mostoles@educa.madrid.org;soto@educainfantilmostoles.org;Público;
Madrid-Capital;28047915;EEI;EL SUR;Calle De Cifuentes, 12 ;Madrid;Villaverde;28021;917983944;917979754;eei.elsur.madrid@educa.madrid.org;-;Público;
Madrid-Este;28044008;EEI;EL TAMBOR;Calle Gustavo Adolfo Bécquer, S/n ;San Fernando de Henares;-;28830;916690204;916737699;eei.eltambor.sanfernando@educa.madrid.org;-;Público;
Madrid-Oeste;28043818;EEI;EL TOMILLAR;Calle Carretera Torrelodones, 25 ;Torrelodones;-;28250;918592893;918596420;eei.eltomillar.torrelodones@educa.madrid.org;escuela@escuelaeltomillar.com;Público;
Madrid-Capital;28070354;EEI;EL TREBOL;Calle De Tristana, 2 ;Madrid;Puente de Vallecas;28018;663479037;-;eei.eltrebol.madrid@educa.madrid.org;direccion.eieltrebol@grupo5.net;Público;
Madrid-Capital;28079102;EEI;EL TREN DE ARGANDA;Plaza Del Doctor Laguna, 11 ;Madrid;Retiro;28009;-;-;-;-;Público;
Madrid-Capital;28068271;EEI;EL TREN DE LA FRESA;Calle De Ramírez De Prado, 6 ;Madrid;Arganzuela;28045;915399458;-;eei.trendelafresa.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28043685;EEI;EL VALLE;Avenida Del Valle, 22 ;Madrid;Chamberí;28003;915530388;915530388;eei.elvalle.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28079011;EEI;ELENA FORTUN;Avenida De Monasterio De Silos, 57 ;Madrid;Fuencarral-El Pardo;28049;-;-;eei.elenafortun.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28073379;EEI;ESCUELAS DE SAN ANTON;Calle De La Farmacia, 13 ;Madrid;Centro;28004;915325557;-;eei.escuelasdesananton.madrid@educa.madrid.org;ei.centro5@hotmail.com;Público;
Madrid-Capital;28046212;EEI;EXTREMADURA;Calle De La Esfinge, 90 ;Madrid;San Blas-Canillejas;28022;913201869;913201869;eei.extremadura.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28065358;EEI;FABULAS Y LEYENDAS;Calle Nueva York, 12 ;Móstoles;-;28938;647521218;-;eei.fabulasyleyendas.mostoles@educa.madrid.org;fabulasyleyendas@kidsco.es;Público;
Madrid-Este;28046081;EEI;FANTASIA;Calle Rosalía De Castro, 5 ;San Martín de la Vega;-;28330;918946565;918946565;eei.fantasia.sanmartindelavega@educa.madrid.org;-;Público;
Madrid-Capital;28071942;EEI;FERNANDO EL CATOLICO;Calle De Fernando El Católico, 16 B ;Madrid;Chamberí;28015;914456792;-;eei.fernandoelcatolico.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28043855;EEI;FORTUNA;Calle Faro, 1 ;Leganés;-;28917;916197568;916129096;eei.fortuna.leganes@educa.madrid.org;-;Público;
Madrid-Norte;28072341;EEI;FUENTELUCHA;Avenida De La Ilusión, 20 ;Alcobendas;-;28100;911722892;-;eei.fuentelucha.alcobendas@educa.madrid.org;-;Público;
Madrid-Capital;28062631;EEI;GAIA;Calle De Mérida, 23 ;Madrid;Moratalaz;28030;917725080;917724216;eei.gaia.madrid@educa.madrid.org;http://www.escuelagaia.org;Público;
Madrid-Este;28047745;EEI;GALATEA;Calle Fuente Del Sol, 85 ;Alcalá de Henares;-;28803;918808570;-;eei.galatea.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28047629;EEI;GALLIPATOS;Avenida De Nuevo Versalles, 14 ;Fuenlabrada;-;28942;916893282;916893282;eei.gallipatos.fuenlabrada@educa.madrid.org;olga.royo@madrid.org;Público;
Madrid-Capital;28071978;EEI;GIGANTES Y CABEZUDOS;Calle De Rafael Bergamín, 28 ;Madrid;Ciudad Lineal;28043;678207806;-;eei.gigantesycabezudos.madrid@educa.madrid.org;-;Público;
Madrid-Este;28048610;EEI;GLORIA FUERTES;Calle León Felipe, 24 ;Arganda del Rey;-;28500;910499220;910499220;eei.gloriafuertes.arganda@educa.madrid.org;-;Público;
Madrid-Sur;28048634;EEI;GLORIA FUERTES;Calle De Las Islas Cíes, 2 ;Alcorcón;-;28924;916128962;916128962;eei.gloriafuertes.alcorcon@educa.madrid.org;-;Público;
Madrid-Norte;28049110;EEI;GLORIA FUERTES;Avenida De España, S/n ;Soto del Real;-;28791;918476915;918476915;eei.gloriafuertes.soto@educa.madrid.org;eigloriafuertes@gmail.com;Público;
Madrid-Este;28047435;EEI;GRIMM;Calle Aloe, S/n ;Rivas-Vaciamadrid;-;28522;916665837;916662488;eei.grimm.rivas@educa.madrid.org;cm.eei.grimm@gmail.com;Público;
Madrid-Capital;28047654;EEI;HIEDRA;Calle De Amposta, 34 ;Madrid;San Blas-Canillejas;28037;913062533;-;eei.hiedra.madrid@educa.madrid.org;escuelahiedra@gmail.com;Público;
Madrid-Sur;28064111;EEI;JACARANDA;Calle Libertad, 108 ;Valdemoro;-;28341;918014607;-;eei.jacaranda.valdemoro@educa.madrid.org;-;Público;
Madrid-Sur;28044173;EEI;JARDINES DE ARANJUEZ;Calle Del Primero De Mayo, 3 ;Aranjuez;-;28300;918917960;918917960;eei.jardinesdearanjuez.aranjuez@educa.madrid.org;-;Público;
Madrid-Sur;28043843;EEI;JEROMIN;Calle Río Gallego, 9 ;Leganés;-;28913;692908011;916807378;eei.jeromin.leganes@educa.madrid.org;escuelaiinfantiljeromin@gmail.com;Público;
Madrid-Sur;28043934;EEI;JOAN MIRO;Calle París, 7 ;Móstoles;-;28938;916454994;916454994;eei.joanmiro.mostoles@educa.madrid.org;miro@educainfantilmostoles.org;Público;
Madrid-Sur;28072405;EEI;JUAN FARIAS;Calle Toledo, 18 ;Villaviciosa de Odón;-;28670;916161281;916161281;eei.juanfarias.villaviciosa@educa.madrid.org;eijuanfarias@geinfantiles.com;Público;
Madrid-Oeste;28066193;EEI;JUAN RAMON JIMENEZ;Calle Ramón Y Cajal, 5 ;Rozas de Madrid, Las;-;28232;916405552;-;eei.juanramonjimenez.lasrozas@educa.madrid.org;eijuanramonjimenez@geinfantiles.com;Público;
Madrid-Este;28068360;EEI;JUAN SIN MIEDO;Avenida Constitución, 217 ;Torrejón de Ardoz;-;28850;916564804;-;eei.juansinmiedo.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Sur;28070342;EEI;JUANA LLANDRES;Calle San Isidro, S/n ;Sevilla la Nueva;-;28609;918130787;-;eei.juanallandres.sevilla@educa.madrid.org;-;Público;
Madrid-Sur;28074013;EEI;KOALA;Avenida De María Guerrero, 161 ;Leganés;-;28919;607080881;-;eei.koala.leganes@educa.madrid.org;koala@kidsco.es;Público;
Madrid-Sur;28058159;EEI;LA ALAMEDA;Calle De Concepción Arenal, 15 ;Fuenlabrada;-;28942;914869995;-;eei.numeroocho.fuenlabrada@educa.madrid.org;direccion.eilaalameda@grupo5.net;Público;
